GOTO | Advance to Go - Collect 200 | GO | 
COLLECT | Bank error in your favor - Collect 200 | 200 | 
PAY | Doctor's fee - pay 50 | 50 | 
COLLECT | From sale of stock you get 50 | 50 | 
BAIL | Get out of Jail, Free | 
GOTO | Go directly to jail - Do NOT pass Go - Do not collect 200 | JAIL | 
COLLECT | Xmas Fund mature - Collect 100 | 100 | 
COLLECT | Income tax refund - Collect 20 | 20 | 
COLLECT | It is your birthday - Collect 10 from each player | 10 | 
COLLECT | Life insurance matters - Collect 100 | 100 | 
PAY | Pay hospital fees of 100 | 100 | 
PAY | Pay school fees of 150 | 100 | 
COLLECT | Recieve 25 consultancy fee | 25 | 
COLLECT | You have won second prize in a beauty contest - collect 10 | 10 | 
COLLECT | You inherit 100 | 100 | 
